iter	Passed	Remaining
1528	12245	1281
1529	12252	1273
1530	12261	1265
1531	12269	1257
1532	12278	1249
1533	12284	1241
1534	12293	1233
1535	12299	1225
1536	12306	1217
1537	12315	1209
1538	12322	1201
1539	12331	1193
1540	12339	1185
1541	12349	1177
1542	12356	1169
1543	12364	1161
1544	12371	1153
1545	12380	1145
1546	12387	1137
1547	12396	1129
1548	12402	1120
1549	12411	1112
1550	12417	1104
1551	12427	1096
1552	12434	1088
1553	12442	1080
1554	12449	1072
1555	12456	1064
1556	12465	1056
1557	12472	1048
1558	12480	1040
1559	12487	1032
1560	12495	1024
1561	12503	1016
1562	12511	1008
1563	12520	1000
1564	12528	992
1565	12538	984
1566	12545	976
1567	12555	968
1568	12562	960
1569	12572	952
1570	12579	944
1571	12588	936
1572	12595	928
1573	12604	920
1574	12611	912
1575	12618	904
1576	12627	896
1577	12636	888
1578	12642	880
1579	12649	872
1580	12659	864
1581	12666	856
1582	12674	848
1583	12681	840
1584	12690	832
1585	12698	824
1586	12708	816
1587	12714	808
1588	12723	800
1589	12731	792
1590	12741	784
1591	12749	776
1592	12758	768
1593	12765	760
1594	12775	752
1595	12783	744
1596	12792	736
1597	12801	729
1598	12810	721
1599	12818	713
1600	12827	705
1601	12835	697
1602	12842	688
1603	12849	680
1604	12858	672
1605	12865	664
1606	12874	656
1607	12881	648
1608	12889	640
1609	12895	632
1610	12905	624
1611	12913	616
1612	12923	608
1613	12930	600
1614	12940	592
1615	12947	584
1616	12957	576
1617	12964	568
1618	12974	560
1619	12982	552
1620	12991	544
1621	12998	536
1622	13006	528
1623	13013	520
1624	13022	512
1625	13029	504
1626	13037	496
1627	13044	488
1628	13054	480
1629	13060	472
1630	13069	464
1631	13077	456
1632	13087	448
1633	13094	440
1634	13103	432
1635	13110	424
1636	13118	416
1637	13126	408
1638	13135	400
1639	13143	392
1640	13152	384
1641	13159	376
1642	13169	368
1643	13177	360
1644	13185	352
1645	13193	344
1646	13202	336
1647	13208	328
1648	13216	320
1649	13224	312
1650	13231	304
1651	13239	296
1652	13247	288
1653	13256	280
1654	13264	272
1655	13273	264
1656	13280	256
1657	13291	248
1658	13299	240
1659	13306	232
1660	13313	224
1661	13322	216
1662	13329	208
1663	13339	200
1664	13346	192
1665	13355	184
1666	13363	176
1667	13373	168
1668	13380	160
1669	13389	152
1670	13398	144
1671	13405	136
1672	13413	128
1673	13423	120
1674	13430	112
1675	13439	104
1676	13446	96
1677	13456	88
1678	13465	80
1679	13473	72
1680	13482	64
1681	13490	56
1682	13500	48
1683	13509	40
1684	13516	32
